zeit;zeit_iso;lat;lon;hoehe_m;geschwindigkeit_m_s;herzfrequenz_bpm;strecke_m;sekunden_seit_start
09:05:11;2026-07-11T09:05:11+00:00;50.928325;14.245265;171.6;0;94;0;0
09:05:12;2026-07-11T09:05:12+00:00;50.928326;14.245282;170.6;1.088;94;1.1;1
09:05:13;2026-07-11T09:05:13+00:00;50.928328;14.2453;169.6;1.126;94;2.3;2
09:05:14;2026-07-11T09:05:14+00:00;50.928328;14.245317;168.6;1.111;94;3.3;3
09:05:15;2026-07-11T09:05:15+00:00;50.928328;14.245334;167.6;1.104;94;4.4;4
09:05:16;2026-07-11T09:05:16+00:00;50.928327;14.245351;166.8;1.1;94;5.5;5
09:05:17;2026-07-11T09:05:17+00:00;50.928326;14.245369;166;0.882;94;5.5;6
09:05:18;2026-07-11T09:05:18+00:00;50.928326;14.245386;165.4;0.65;94;5.5;7
09:05:19;2026-07-11T09:05:19+00:00;50.928325;14.245401;165;0.973;94;8.2;8
09:05:20;2026-07-11T09:05:20+00:00;50.928325;14.245415;164.8;0.757;92;8.2;9
09:05:21;2026-07-11T09:05:21+00:00;50.928324;14.245429;164.6;0.76;92;9.3;10
09:05:22;2026-07-11T09:05:22+00:00;50.928324;14.245441;164.4;0.76;92;9.3;11
09:05:23;2026-07-11T09:05:23+00:00;50.928324;14.245454;164.4;0.76;92;9.3;12
09:05:24;2026-07-11T09:05:24+00:00;50.928323;14.245468;164.4;0.7;92;11.7;13
09:05:25;2026-07-11T09:05:25+00:00;50.928323;14.24548;164.4;0.7;98;11.7;14
09:05:26;2026-07-11T09:05:26+00:00;50.928322;14.245493;164.4;1.08;98;14.7;15
09:05:27;2026-07-11T09:05:27+00:00;50.928322;14.245506;164.4;1.08;98;14.7;16
09:05:28;2026-07-11T09:05:28+00:00;50.928321;14.24552;164.4;1.08;98;14.7;17
09:05:29;2026-07-11T09:05:29+00:00;50.92832;14.245534;164.4;1.36;98;18.5;18
09:05:30;2026-07-11T09:05:30+00:00;50.928319;14.245548;164.6;1.36;98;18.5;19
09:05:31;2026-07-11T09:05:31+00:00;50.928319;14.245562;164.6;0.76;98;18.5;20
09:05:32;2026-07-11T09:05:32+00:00;50.928318;14.245573;164.6;1.46;98;22;21
09:05:33;2026-07-11T09:05:33+00:00;50.928318;14.245582;164.6;1.46;98;22;22
09:05:34;2026-07-11T09:05:34+00:00;50.928318;14.245592;164.6;0.72;98;22.1;23
09:05:35;2026-07-11T09:05:35+00:00;50.928317;14.245605;164.6;0.72;99;22.1;24
09:05:36;2026-07-11T09:05:36+00:00;50.928316;14.245619;164.6;0.72;99;22.1;25
09:05:37;2026-07-11T09:05:37+00:00;50.928315;14.245631;164.6;0.46;99;24.3;26
09:05:38;2026-07-11T09:05:38+00:00;50.928314;14.245643;164.6;0.46;99;24.3;27
09:05:39;2026-07-11T09:05:39+00:00;50.928314;14.245656;164.6;1;99;27.1;28
09:05:40;2026-07-11T09:05:40+00:00;50.928314;14.245667;164.6;1;95;27.1;29
09:05:41;2026-07-11T09:05:41+00:00;50.928314;14.245681;164.6;1;95;27.1;30
09:05:42;2026-07-11T09:05:42+00:00;50.928313;14.245697;164.6;1.22;95;30.4;31
09:05:43;2026-07-11T09:05:43+00:00;50.928311;14.245714;164.6;1.22;95;30.4;32
